DateTime;Meta para taxa Selic
01/01/2020;4.5
02/01/2020;4.5
03/01/2020;4.5
04/01/2020;4.5
05/01/2020;4.5
06/01/2020;4.5
07/01/2020;4.5
08/01/2020;4.5
09/01/2020;4.5
10/01/2020;4.5
11/01/2020;4.5
12/01/2020;4.5
13/01/2020;4.5
14/01/2020;4.5
15/01/2020;4.5
16/01/2020;4.5
17/01/2020;4.5
18/01/2020;4.5
19/01/2020;4.5
20/01/2020;4.5
21/01/2020;4.5
22/01/2020;4.5
23/01/2020;4.5
24/01/2020;4.5
25/01/2020;4.5
26/01/2020;4.5
27/01/2020;4.5
28/01/2020;4.5
29/01/2020;4.5
30/01/2020;4.5
31/01/2020;4.5
01/02/2020;4.5
02/02/2020;4.5
03/02/2020;4.5
04/02/2020;4.5
05/02/2020;4.5
06/02/2020;4.25
07/02/2020;4.25
08/02/2020;4.25
09/02/2020;4.25
10/02/2020;4.25
11/02/2020;4.25
12/02/2020;4.25
13/02/2020;4.25
14/02/2020;4.25
15/02/2020;4.25
16/02/2020;4.25
17/02/2020;4.25
18/02/2020;4.25
19/02/2020;4.25
20/02/2020;4.25
21/02/2020;4.25
22/02/2020;4.25
23/02/2020;4.25
24/02/2020;4.25
25/02/2020;4.25
26/02/2020;4.25
27/02/2020;4.25
28/02/2020;4.25
29/02/2020;4.25
01/03/2020;4.25
02/03/2020;4.25
03/03/2020;4.25
04/03/2020;4.25
05/03/2020;4.25
06/03/2020;4.25
07/03/2020;4.25
08/03/2020;4.25
09/03/2020;4.25
10/03/2020;4.25
11/03/2020;4.25
12/03/2020;4.25
13/03/2020;4.25
14/03/2020;4.25
15/03/2020;4.25
16/03/2020;4.25
17/03/2020;4.25
18/03/2020;4.25
19/03/2020;3.75
20/03/2020;3.75
21/03/2020;3.75
22/03/2020;3.75
23/03/2020;3.75
24/03/2020;3.75
25/03/2020;3.75
26/03/2020;3.75
27/03/2020;3.75
28/03/2020;3.75
29/03/2020;3.75
30/03/2020;3.75
31/03/2020;3.75
01/04/2020;3.75
02/04/2020;3.75
03/04/2020;3.75
04/04/2020;3.75
05/04/2020;3.75
06/04/2020;3.75
07/04/2020;3.75
08/04/2020;3.75
09/04/2020;3.75
10/04/2020;3.75
11/04/2020;3.75
12/04/2020;3.75
13/04/2020;3.75
14/04/2020;3.75
15/04/2020;3.75
16/04/2020;3.75
17/04/2020;3.75
18/04/2020;3.75
19/04/2020;3.75
20/04/2020;3.75
21/04/2020;3.75
22/04/2020;3.75
23/04/2020;3.75
24/04/2020;3.75
25/04/2020;3.75
26/04/2020;3.75
27/04/2020;3.75
28/04/2020;3.75
29/04/2020;3.75
30/04/2020;3.75
01/05/2020;3.75
02/05/2020;3.75
03/05/2020;3.75
04/05/2020;3.75
05/05/2020;3.75
06/05/2020;3.75
07/05/2020;3.0
08/05/2020;3.0
09/05/2020;3.0
10/05/2020;3.0
11/05/2020;3.0
12/05/2020;3.0
13/05/2020;3.0
14/05/2020;3.0
15/05/2020;3.0
16/05/2020;3.0
17/05/2020;3.0
18/05/2020;3.0
19/05/2020;3.0
20/05/2020;3.0
21/05/2020;3.0
22/05/2020;3.0
23/05/2020;3.0
24/05/2020;3.0
25/05/2020;3.0
26/05/2020;3.0
27/05/2020;3.0
28/05/2020;3.0
29/05/2020;3.0
30/05/2020;3.0
31/05/2020;3.0
01/06/2020;3.0
02/06/2020;3.0
03/06/2020;3.0
04/06/2020;3.0
05/06/2020;3.0
06/06/2020;3.0
07/06/2020;3.0
08/06/2020;3.0
09/06/2020;3.0
10/06/2020;3.0
11/06/2020;3.0
12/06/2020;3.0
13/06/2020;3.0
14/06/2020;3.0
15/06/2020;3.0
16/06/2020;3.0
17/06/2020;3.0
18/06/2020;2.25
19/06/2020;2.25
20/06/2020;2.25
21/06/2020;2.25
22/06/2020;2.25
23/06/2020;2.25
24/06/2020;2.25
25/06/2020;2.25
26/06/2020;2.25
27/06/2020;2.25
28/06/2020;2.25
29/06/2020;2.25
30/06/2020;2.25
01/07/2020;2.25
02/07/2020;2.25
03/07/2020;2.25
04/07/2020;2.25
05/07/2020;2.25
06/07/2020;2.25
07/07/2020;2.25
08/07/2020;2.25
09/07/2020;2.25
10/07/2020;2.25
11/07/2020;2.25
12/07/2020;2.25
13/07/2020;2.25
14/07/2020;2.25
15/07/2020;2.25
16/07/2020;2.25
17/07/2020;2.25
18/07/2020;2.25
19/07/2020;2.25
20/07/2020;2.25
21/07/2020;2.25
22/07/2020;2.25
23/07/2020;2.25
24/07/2020;2.25
25/07/2020;2.25
26/07/2020;2.25
27/07/2020;2.25
28/07/2020;2.25
29/07/2020;2.25
30/07/2020;2.25
31/07/2020;2.25
01/08/2020;2.25
02/08/2020;2.25
03/08/2020;2.25
04/08/2020;2.25
05/08/2020;2.25
06/08/2020;2.0
07/08/2020;2.0
08/08/2020;2.0
09/08/2020;2.0
10/08/2020;2.0
11/08/2020;2.0
12/08/2020;2.0
13/08/2020;2.0
14/08/2020;2.0
15/08/2020;2.0
16/08/2020;2.0
17/08/2020;2.0
18/08/2020;2.0
19/08/2020;2.0
20/08/2020;2.0
21/08/2020;2.0
22/08/2020;2.0
23/08/2020;2.0
24/08/2020;2.0
25/08/2020;2.0
26/08/2020;2.0
27/08/2020;2.0
28/08/2020;2.0
29/08/2020;2.0
30/08/2020;2.0
31/08/2020;2.0
01/09/2020;2.0
02/09/2020;2.0
03/09/2020;2.0
04/09/2020;2.0
05/09/2020;2.0
06/09/2020;2.0
07/09/2020;2.0
08/09/2020;2.0
09/09/2020;2.0
10/09/2020;2.0
11/09/2020;2.0
12/09/2020;2.0
13/09/2020;2.0
14/09/2020;2.0
15/09/2020;2.0
16/09/2020;2.0
17/09/2020;2.0
18/09/2020;2.0
19/09/2020;2.0
20/09/2020;2.0
21/09/2020;2.0
22/09/2020;2.0
23/09/2020;2.0
24/09/2020;2.0
25/09/2020;2.0
26/09/2020;2.0
27/09/2020;2.0
28/09/2020;2.0
29/09/2020;2.0
30/09/2020;2.0
01/10/2020;2.0
